counts1,counts2,count3,fold1,fold2,fold3
9.3,4.0,10.8,2.3,0.9,0.4
58.6,39.2,56.7,1.5,1.0,0.7
0.0,0.0,0.0,1.0,1.0,1.0
90.3,48.0,81.0,1.9,1.1,0.6
287.5,229.0,229.6,1.3,1.3,1.0
48.4,14.4,47.3,3.4,1.0,0.3
1063.5,540.5,953.6,2.0,1.1,0.6
37.2,132.9,74.3,0.3,0.5,1.8
10.2,15.2,9.5,0.7,1.1,1.6
10.2,31.2,12.2,0.3,0.8,2.6
1.9,7.2,1.4,0.3,1.4,5.3
6.5,33.6,8.1,0.2,0.8,4.1
71.6,47.2,85.1,1.5,0.8,0.6
12.1,19.2,0.0,0.6,98.3,156.2
14.9,0.0,12.2,121.0,1.2,0.0
15.8,33.6,18.9,0.5,0.8,1.8
54.0,80.1,68.9,0.7,0.8,1.2
19.5,27.2,95.9,0.7,0.2,0.3
65.1,69.7,41.9,0.9,1.6,1.7
10.2,0.0,10.8,83.2,0.9,0.0
25.1,28.0,20.3,0.9,1.2,1.4
7.4,19.2,9.5,0.4,0.8,2.0
88.4,193.8,98.6,0.5,0.9,2.0
5.6,0.0,8.1,45.4,0.7,0.0
157.2,68.9,164.8,2.3,1.0,0.4
12.1,14.4,13.5,0.8,0.9,1.1
11.2,18.4,8.1,0.6,1.4,2.3
565.7,201.0,416.0,2.8,1.4,0.5
26.1,12.8,36.5,2.0,0.7,0.4
0.0,0.0,0.0,1.0,1.0,1.0
0.0,0.0,0.0,1.0,1.0,1.0
0.0,0.0,0.0,1.0,1.0,1.0
97.7,21.6,79.7,4.5,1.2,0.3
31.6,24.8,23.0,1.3,1.4,1.1
4.7,44.8,10.8,0.1,0.4,4.1
308.0,141.7,189.1,2.2,1.6,0.7
18.6,41.6,35.1,0.4,0.5,1.2
29.8,19.2,24.3,1.5,1.2,0.8
5.6,8.0,9.5,0.7,0.6,0.8
12.1,15.2,10.8,0.8,1.1,1.4
0.0,0.0,0.0,1.0,1.0,1.0
27.0,28.8,24.3,0.9,1.1,1.2
15.8,0.0,10.8,128.6,1.5,0.0
300.5,292.3,341.7,1.0,0.9,0.9
43.7,150.5,54.0,0.3,0.8,2.8
144.2,55.2,122.9,2.6,1.2,0.4
553.6,474.8,691.6,1.2,0.8,0.7
