#Gene-ID,Chr,Strand,Start,End,Count,Length,RPKM,#-exons,#-expr-exons(>10 reads),Transcripts
SYNPCC7002_A0001,Synechococcus_chromo_NC_010475,+,1,1350,260,1349,27.09,1,1,SYNPCC7002_A0001
EMSL_EXON,Synechococcus_chromo_NC_010475,+,1360,1420,0,35,0,2,0,emsl_splice_junction_for_LifeScope
SYNPCC7002_A0002,Synechococcus_chromo_NC_010475,+,1424,2353,188,929,28.44,1,1,SYNPCC7002_A0002
SYNPCC7002_A0003,Synechococcus_chromo_NC_010475,+,2575,2811,3115,236,1855.16,1,1,SYNPCC7002_A0003
SYNPCC7002_A0004,Synechococcus_chromo_NC_010475,-,2832,3110,44,278,22.25,1,1,SYNPCC7002_A0004
SYNPCC7002_A0005,Synechococcus_chromo_NC_010475,-,3152,3406,36,254,19.92,1,1,SYNPCC7002_A0005
SYNPCC7002_A0006,Synechococcus_chromo_NC_010475,-,3441,4133,49,692,9.95,1,1,SYNPCC7002_A0006
SYNPCC7002_A0007,Synechococcus_chromo_NC_010475,-,4152,4796,44,644,9.6,1,1,SYNPCC7002_A0007
SYNPCC7002_A0008,Synechococcus_chromo_NC_010475,-,4889,5230,61,341,25.14,1,1,SYNPCC7002_A0008
SYNPCC7002_A0009,Synechococcus_chromo_NC_010475,-,5271,5630,27,359,10.57,1,1,SYNPCC7002_A0009
SYNPCC7002_A0010,Synechococcus_chromo_NC_010475,+,5742,6824,190,1082,24.68,1,1,SYNPCC7002_A0010
SYNPCC7002_A0011,Synechococcus_chromo_NC_010475,+,7044,7613,430,569,106.22,1,1,SYNPCC7002_A0011
SYNPCC7002_A0012,Synechococcus_chromo_NC_010475,+,7763,8308,1875,545,483.55,1,1,SYNPCC7002_A0012
SYNPCC7002_A0013,Synechococcus_chromo_NC_010475,+,8305,9621,4121,1316,440.13,1,1,SYNPCC7002_A0013
SYNPCC7002_A0014,Synechococcus_chromo_NC_010475,+,9729,10484,507,755,94.38,1,1,SYNPCC7002_A0014
SYNPCC7002_A0015,Synechococcus_chromo_NC_010475,+,10609,11418,285,809,49.51,1,1,SYNPCC7002_A0015
SYNPCC7002_A0016,Synechococcus_chromo_NC_010475,-,11402,11782,401,380,148.32,1,1,SYNPCC7002_A0016
SYNPCC7002_A0017,Synechococcus_chromo_NC_010475,-,11850,12152,787,302,366.27,1,1,SYNPCC7002_A0017
SYNPCC7002_A0018,Synechococcus_chromo_NC_010475,+,12398,12628,433,230,264.6,1,1,SYNPCC7002_A0018
SYNPCC7002_A0019,Synechococcus_chromo_NC_010475,+,12655,14193,715,1538,65.34,1,1,SYNPCC7002_A0019
SYNPCC7002_A0020,Synechococcus_chromo_NC_010475,+,14203,14742,117,539,30.51,1,1,SYNPCC7002_A0020
SYNPCC7002_A0021,Synechococcus_chromo_NC_010475,-,14914,15897,303,983,43.32,1,1,SYNPCC7002_A0021
SYNPCC7002_A0022,Synechococcus_chromo_NC_010475,-,15864,20024,218,4160,7.37,1,1,SYNPCC7002_A0022
SYNPCC7002_A0023,Synechococcus_chromo_NC_010475,+,20085,20954,238,869,38.49,1,1,SYNPCC7002_A0023
