"","Shew_HL_HO2","C_lim_CC","Lactate_CC","FC.HLHO.div.C_Lim","FC.HLHO.div.lact","FC.C_lim.div.lac","W3181","X","Genome.count","PMID","Product.Descriptor","GENE","Alias","Role","Regulated.by","Essentiality.Class.in.MR.1","FIG.Function","FIG.Subsystem","CAZY","family","Merops.family","cofactor..organic.","cofactor..inorganic","substrate","Transport.Family","EC.NUMBER","evolution","Genome.count.1","Localization","Group.ID"
"0001",103.281248175681,198.574796911159,159.384356653948,0.520112571092736,0.648001161117228,1.24588636601458,"W3181_0001",NA,22,"","chromosomal replication initiator protein DnaA","dnaA","","Cell division","","Expected Essential","Chromosomal replication initiator protein DnaA","Cell Division Subsystem including YidCD; <br>DNA-replication; <br>DNA replication cluster 1","","","","ATP","","","","","core",1,"cyt","Shw00008"
"EXON",202.840649570256,0,117.512195160114,1649.1109721159,1.7261242485844,0.00104669987512707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0002",107.003094956786,218.592417567526,136.422203576685,0.489509636919276,0.784352489194611,1.60232287587007,"W3181_0002",NA,22,"","DNA polymerase III beta subunit DnaN","dnaN","","Cell division","","Expected Essential","DNA polymerase III beta subunit (EC 2.7.7.7)","Cell Division Subsystem including YidCD; <br>DNA-replication; <br>DNA replication cluster 1","","","","","","","","2.7.7.7","core",1,"cyt","Shw00009"
"0003",32.5661593346741,76.066958494194,43.2228763807318,0.428124904417729,0.753447296006236,1.75987728868743,"W3181_0003",NA,22,"","DNA replication and repair protein RecF","recF","","Cell division","","Dispensable","DNA recombination and repair protein RecF","Cell Division Subsystem including YidCD; <br>DNA repair bacterial RecFOR pathway; <br>DNA replication cluster 1; <br>Hypothetical Coupled to RecF","","","","ATP","","","","","core",1,"cyt","Shw00010"
"0004",115.377250214274,201.777616216178,129.668629142195,0.571804010662227,0.889785378140698,1.55610202368151,"W3181_0004",NA,22,"","DNA gyrase B subunit GyrB","gyrB","","Cell division","","Expected Essential","DNA gyrase subunit B (EC 5.99.1.3)","Cell Division Subsystem including YidCD; <br>DNA gyrase subunits; <br>DNA replication cluster 1; <br>DNA topoisomerases Type II ATP-dependent; <br>Resistance to fluoroquinolones","","","","ATP","","","","5.99.1.3","core",1,"cyt","Shw00011"
"0005",26.0529274677393,12.8112772200748,36.4693019462424,2.03359329598421,0.714379658435542,0.351289345734098,"W3181_0005",NA,20,"","metal-dependent phosphohydrolase","","","1CP - HDOD","","Dispensable","hypothetical protein","","","","","","metal","","","","no Sden PV4",1,"cyt","Shw00013"
"0006",68.8541654504539,117.703609459437,68.8864592317912,0.584979218281173,0.999531202769057,1.70866104561107,"W3181_0006",NA,22,"","glycyl-tRNA synthetase beta subunit GlyS","glyS","","tRNA charging","","Expected Essential","Glycyl-tRNA synthetase beta chain (EC 6.1.1.14)","tRNA aminoacylation Gly","","","","ATP","","","","6.1.1.14","core",1,"cyt","Shw00014"
"0007",37.2184678110562,68.0599102316473,40.521446606936,0.546848617407519,0.918488132274269,1.67960218429116,"W3181_0007",NA,22,"","glycyl-tRNA synthetase alpha subunit GlyQ","glyQ","","tRNA charging","","Expected Essential","Glycyl-tRNA synthetase alpha chain (EC 6.1.1.14)","tRNA aminoacylation Gly","","","","ATP","","","","6.1.1.14","core",1,"cyt","Shw00015"
"0008",80.9501674890472,39.234536486479,62.1328847973019,2.06323751312684,1.30285544849774,0.63146169076931,"W3181_0008",NA,22,"","DNA-3-methyladenine glycosylase I Tag","tag","","DNA Repair Base Excision","","Unknown","DNA-3-methyladenine glycosylase (EC 3.2.2.20)","CBSS-326442.4.peg.1852; <br>DNA Repair Base Excision","","","","","","","","3.2.2.20","core",1,"cyt","Shw00016"
"0009",20.4701572960809,13.6119820463295,25.6635828510595,1.50383369787068,0.797634430659233,0.530400689776155,"W3181_0009",NA,22,"","bifunctional TolB-family protein/amidohydrolase","","","","","Dispensable","hypothetical protein","","","TolB","","","","","","","core",1,"peri","Shw00017"
"0010",379.628371672773,37.6331268339697,90.4978974221571,10.0876117296238,4.19488609665561,0.415845316918443,"W3181_0010",NA,20,"","MOSC domain protein","","","","","Dispensable","hypothetical protein","","","","","","","","","","no Sama Sben ",1,"cyt","Shw00018"
"0011",14.8873871244225,0,12.1564339820808,121.035667678231,1.22465084303236,0.010118098792895,"W3181_0011",NA,22,"","tRNA 2-thiouridine synthesizing protein TusA","tusA","","","","Unknown","tRNA 5-methylaminomethyl-2-thiouridine synthase TusA","","","","","","","","","2.8.1.-","core",1,"cyt","Shw00019"
"0012",116.307711909551,318.68052084936,37.8200168331403,0.364966492459478,3.07529508573974,8.42623952959514,"W3181_0012",NA,22,"","aerobic fatty oxidation complex 3-ketoacyl-CoA thiolase beta subunit FadA","fadA","","FA oxidation I","","Dispensable","3-ketoacyl-CoA thiolase (EC 2.3.1.16) & Acetyl-CoA acetyltransferase (EC 2.3.1.9)","Acetyl-CoA fermentation to Butyrate; <br>Biotin biosynthesis; <br>Butanol Biosynthesis; <br>Butyrate metabolism cluster; <br>CBSS-246196.1.peg.364; <br>Isoleucine degradation; <br>Isoprenoid Biosynthesis; <br>Polyhydroxybutyrate metabolism; <br>Polyhydroxybutyrate metabolism; <br>Serine-glyoxylate cycle; <br>Serine-glyoxylate cycle","","","","","","","","2.3.1.16","core",1,"cyt","Shw00020"
"0013",115.377250214274,413.964395173666,39.1707317200382,0.278712980051995,2.9454964241899,10.5682068472032,"W3181_0013",NA,22,"","aerobic fatty oxidation complex 3-hydroxyacyl-CoA epimerase alpha subunit FadB","fadB","","FA oxidation I","","Dispensable","Enoyl-CoA hydratase (EC 4.2.1.17) / Delta(3)-cis-delta(2)-trans-enoyl-CoA isomerase (EC 5.3.3.8) / 3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35) / 3-hydroxybutyryl-CoA epimerase (EC 5.1.2.3)","Acetyl-CoA fermentation to Butyrate; <br>Acetyl-CoA fermentation to Butyrate; <br>Acetyl-CoA fermentation to Butyrate; <br>Butanol Biosynthesis; <br>Butyrate metabolism cluster; <br>Butyrate metabolism cluster; <br>Isoleucine degradation; <br>Isoleucine degradation; <br>Polyhydroxybutyrate metabolism; <br>Polyhydroxybutyrate metabolism; <br>Polyhydroxybutyrate metabolism; <br>Valine degradation; <br>Valine degradation","","","","NAD","","","","4.2.1.17, 5.3.3.8, 1.1.1.35, 5.1.2.3","core",1,"cyt","Shw00021"
"0014",78.158782403218,75.2662536679394,72.9386038924848,1.03843061922598,1.07156948765331,1.03191245309391,"W3181_0014",NA,22,"","Xaa-Pro dipeptidase PepQ","pepQ","","peptidase","","Dispensable","Xaa-Pro dipeptidase PepQ (EC 3.4.13.9)","Cluster co-expressed with butyrate metabolism cluster; <br>Dipeptidases (EC 3.4.13.-)","","","M24B","","","","","3.4.13.9","core",1,"cyt","Shw00022"
"0015",38.1489295063326,16.0140965250935,49.9764508152211,2.3822092895815,0.763338109930642,0.320432849149346,"W3181_0015",NA,22,"","potassium uptake associated protein YigZ","yigZ","","CPO analysis","","Dispensable","FIG000605: protein co-occurring with transport systems (COG1739)","CPO analysis; <br>Cluster co-expressed with butyrate metabolism cluster","","","","","","","","","core",1,"cyt","Shw00023"
