W3181,,Genome count,PMID,Product Descriptor,GENE,Alias,Role,Regulated by,Essentiality Class in MR-1,FIG Function,FIG Subsystem,CAZY,family,Merops family,cofactor (organic),cofactor (inorganic,substrate,Transport Family,EC NUMBER,evolution,Genome count,Localization,Group ID
W3181_0001,,22,,chromosomal replication initiator protein DnaA,dnaA,,Cell division,,Expected Essential,Chromosomal replication initiator protein DnaA,Cell Division Subsystem including YidCD; <br>DNA-replication; <br>DNA replication cluster 1,,,,ATP,,,,,core,1,cyt,Shw00008
W3181_0002,,22,,DNA polymerase III beta subunit DnaN,dnaN,,Cell division,,Expected Essential,DNA polymerase III beta subunit (EC 2.7.7.7),Cell Division Subsystem including YidCD; <br>DNA-replication; <br>DNA replication cluster 1,,,,,,,,2.7.7.7,core,1,cyt,Shw00009
W3181_0003,,22,,DNA replication and repair protein RecF,recF,,Cell division,,Dispensable,DNA recombination and repair protein RecF,Cell Division Subsystem including YidCD; <br>DNA repair bacterial RecFOR pathway; <br>DNA replication cluster 1; <br>Hypothetical Coupled to RecF,,,,ATP,,,,,core,1,cyt,Shw00010
W3181_0004,,22,,DNA gyrase B subunit GyrB,gyrB,,Cell division,,Expected Essential,DNA gyrase subunit B (EC 5.99.1.3),Cell Division Subsystem including YidCD; <br>DNA gyrase subunits; <br>DNA replication cluster 1; <br>DNA topoisomerases Type II ATP-dependent; <br>Resistance to fluoroquinolones,,,,ATP,,,,5.99.1.3,core,1,cyt,Shw00011
W3181_0005,,20,,metal-dependent phosphohydrolase,,,1CP - HDOD,,Dispensable,hypothetical protein,,,,,,metal,,,,no Sden PV4,1,cyt,Shw00013
W3181_0006,,22,,glycyl-tRNA synthetase beta subunit GlyS,glyS,,tRNA charging,,Expected Essential,Glycyl-tRNA synthetase beta chain (EC 6.1.1.14),tRNA aminoacylation Gly,,,,ATP,,,,6.1.1.14,core,1,cyt,Shw00014
W3181_0007,,22,,glycyl-tRNA synthetase alpha subunit GlyQ,glyQ,,tRNA charging,,Expected Essential,Glycyl-tRNA synthetase alpha chain (EC 6.1.1.14),tRNA aminoacylation Gly,,,,ATP,,,,6.1.1.14,core,1,cyt,Shw00015
W3181_0008,,22,,DNA-3-methyladenine glycosylase I Tag,tag,,DNA Repair Base Excision,,Unknown,DNA-3-methyladenine glycosylase (EC 3.2.2.20),CBSS-326442.4.peg.1852; <br>DNA Repair Base Excision,,,,,,,,3.2.2.20,core,1,cyt,Shw00016
W3181_0009,,22,,bifunctional TolB-family protein/amidohydrolase,,,,,Dispensable,hypothetical protein,,,TolB,,,,,,,core,1,peri,Shw00017
W3181_0010,,20,,MOSC domain protein,,,,,Dispensable,hypothetical protein,,,,,,,,,,no Sama Sben ,1,cyt,Shw00018
