#Gene-ID,Chr,Strand,Start,End,Count,Length,RPKM,#-exons,#-expr-exons(>10 reads),Transcripts
SYNPCC7002_A0001,Synechococcus_chromo_NC_010475,+,1,1350,271,1349,16.55,1,1,SYNPCC7002_A0001
EMSL_EXON,Synechococcus_chromo_NC_010475,+,1360,1420,0,35,0,2,0,emsl_splice_junction_for_LifeScope
SYNPCC7002_A0002,Synechococcus_chromo_NC_010475,+,1424,2353,321,929,28.47,1,1,SYNPCC7002_A0002
SYNPCC7002_A0003,Synechococcus_chromo_NC_010475,+,2575,2811,10632,236,3712.11,1,1,SYNPCC7002_A0003
SYNPCC7002_A0004,Synechococcus_chromo_NC_010475,-,2832,3110,37,278,10.97,1,1,SYNPCC7002_A0004
SYNPCC7002_A0005,Synechococcus_chromo_NC_010475,-,3152,3406,51,254,16.54,1,1,SYNPCC7002_A0005
SYNPCC7002_A0006,Synechococcus_chromo_NC_010475,-,3441,4133,38,692,4.52,1,1,SYNPCC7002_A0006
SYNPCC7002_A0007,Synechococcus_chromo_NC_010475,-,4152,4796,31,644,3.97,1,1,SYNPCC7002_A0007
SYNPCC7002_A0008,Synechococcus_chromo_NC_010475,-,4889,5230,69,341,16.67,1,1,SYNPCC7002_A0008
SYNPCC7002_A0009,Synechococcus_chromo_NC_010475,-,5271,5630,84,359,19.28,1,1,SYNPCC7002_A0009
SYNPCC7002_A0010,Synechococcus_chromo_NC_010475,+,5742,6824,315,1082,23.99,1,1,SYNPCC7002_A0010
SYNPCC7002_A0011,Synechococcus_chromo_NC_010475,+,7044,7613,890,569,128.88,1,1,SYNPCC7002_A0011
SYNPCC7002_A0012,Synechococcus_chromo_NC_010475,+,7763,8308,4256,545,643.46,1,1,SYNPCC7002_A0012
SYNPCC7002_A0013,Synechococcus_chromo_NC_010475,+,8305,9621,10646,1316,666.57,1,1,SYNPCC7002_A0013
SYNPCC7002_A0014,Synechococcus_chromo_NC_010475,+,9729,10484,931,755,101.61,1,1,SYNPCC7002_A0014
SYNPCC7002_A0015,Synechococcus_chromo_NC_010475,+,10609,11418,549,809,55.92,1,1,SYNPCC7002_A0015
SYNPCC7002_A0016,Synechococcus_chromo_NC_010475,-,11402,11782,2252,380,488.32,1,1,SYNPCC7002_A0016
SYNPCC7002_A0017,Synechococcus_chromo_NC_010475,-,11850,12152,2897,302,790.42,1,1,SYNPCC7002_A0017
SYNPCC7002_A0018,Synechococcus_chromo_NC_010475,+,12398,12628,929,230,332.82,1,1,SYNPCC7002_A0018
SYNPCC7002_A0019,Synechococcus_chromo_NC_010475,+,12655,14193,1778,1538,95.26,1,1,SYNPCC7002_A0019
SYNPCC7002_A0020,Synechococcus_chromo_NC_010475,+,14203,14742,165,539,25.22,1,1,SYNPCC7002_A0020
SYNPCC7002_A0021,Synechococcus_chromo_NC_010475,-,14914,15897,540,983,45.26,1,1,SYNPCC7002_A0021
SYNPCC7002_A0022,Synechococcus_chromo_NC_010475,-,15864,20024,242,4160,4.79,1,1,SYNPCC7002_A0022
SYNPCC7002_A0023,Synechococcus_chromo_NC_010475,+,20085,20954,239,869,22.66,1,1,SYNPCC7002_A0023
SYNPCC7002_A0024,Synechococcus_chromo_NC_010475,+,21115,22362,1258,1247,83.12,1,1,SYNPCC7002_A0024
SYNPCC7002_A0025,Synechococcus_chromo_NC_010475,+,22367,23170,247,803,25.35,1,1,SYNPCC7002_A0025
SYNPCC7002_A0026,Synechococcus_chromo_NC_010475,-,23167,24519,462,1352,28.16,1,1,SYNPCC7002_A0026
SYNPCC7002_A0027,Synechococcus_chromo_NC_010475,+,24806,25246,177,440,33.15,1,1,SYNPCC7002_A0027
SYNPCC7002_A0028,Synechococcus_chromo_NC_010475,+,25340,26419,94,1079,7.18,1,1,SYNPCC7002_A0028
SYNPCC7002_A0029,Synechococcus_chromo_NC_010475,-,26445,27062,168,617,22.44,1,1,SYNPCC7002_A0029
SYNPCC7002_A0030,Synechococcus_chromo_NC_010475,+,27194,28225,79,1031,6.31,1,1,SYNPCC7002_A0030
SYNPCC7002_A0031,Synechococcus_chromo_NC_010475,+,28366,28854,516,488,87.13,1,1,SYNPCC7002_A0031
SYNPCC7002_A0032,Synechococcus_chromo_NC_010475,+,28953,29345,3540477,392,744205.75,1,1,SYNPCC7002_A0032
SYNPCC7002_A0033,Synechococcus_chromo_NC_010475,-,29424,30743,943,1319,58.91,1,1,SYNPCC7002_A0033
SYNPCC7002_A0034,Synechococcus_chromo_NC_010475,-,30885,31730,427,845,41.64,1,1,SYNPCC7002_A0034
SYNPCC7002_A0035,Synechococcus_chromo_NC_010475,-,31804,33420,1244,1616,63.43,1,1,SYNPCC7002_A0035
SYNPCC7002_A0036,Synechococcus_chromo_NC_010475,-,33504,34478,310,974,26.23,1,1,SYNPCC7002_A0036
SYNPCC7002_A0037,Synechococcus_chromo_NC_010475,+,34718,35728,185,1010,15.09,1,1,SYNPCC7002_A0037
SYNPCC7002_A0038,Synechococcus_chromo_NC_010475,+,35772,36683,479,911,43.32,1,1,SYNPCC7002_A0038
SYNPCC7002_A0039,Synechococcus_chromo_NC_010475,+,36701,37603,200,902,18.27,1,1,SYNPCC7002_A0039
SYNPCC7002_A0040,Synechococcus_chromo_NC_010475,-,38116,39978,7945,1862,351.59,1,1,SYNPCC7002_A0040
SYNPCC7002_A0041,Synechococcus_chromo_NC_010475,-,40120,45915,3420,5795,48.63,1,1,SYNPCC7002_A0041
SYNPCC7002_A0042,Synechococcus_chromo_NC_010475,-,46222,46605,490,383,105.42,1,1,SYNPCC7002_A0042
SYNPCC7002_A0043,Synechococcus_chromo_NC_010475,+,46832,48373,439,1541,23.47,1,1,SYNPCC7002_A0043
SYNPCC7002_A0044,Synechococcus_chromo_NC_010475,-,48397,49074,87,677,10.59,1,1,SYNPCC7002_A0044
SYNPCC7002_A0045,Synechococcus_chromo_NC_010475,+,49554,50762,11786,1208,803.93,1,1,SYNPCC7002_A0045
SYNPCC7002_A0046,Synechococcus_chromo_NC_010475,+,50845,51207,3547,362,807.37,1,1,SYNPCC7002_A0046
SYNPCC7002_A0047,Synechococcus_chromo_NC_010475,+,51282,51773,2972,491,498.75,1,1,SYNPCC7002_A0047
SYNPCC7002_A0048,Synechococcus_chromo_NC_010475,+,51791,56263,17377,4472,320.18,1,1,SYNPCC7002_A0048
SYNPCC7002_A0049,Synechococcus_chromo_NC_010475,+,56378,59512,7997,3134,210.25,1,1,SYNPCC7002_A0049
SYNPCC7002_A0050,Synechococcus_chromo_NC_010475,-,59525,60178,992,653,125.17,1,1,SYNPCC7002_A0050
SYNPCC7002_A0051,Synechococcus_chromo_NC_010475,-,60296,60643,1983,347,470.88,1,1,SYNPCC7002_A0051
SYNPCC7002_A0052,Synechococcus_chromo_NC_010475,-,60707,61204,648,497,107.43,1,1,SYNPCC7002_A0052
SYNPCC7002_A0053,Synechococcus_chromo_NC_010475,-,61290,61847,1247,557,184.47,1,1,SYNPCC7002_A0053
SYNPCC7002_A0054,Synechococcus_chromo_NC_010475,-,61952,62608,82,656,10.3,1,1,SYNPCC7002_A0054
SYNPCC7002_A0055,Synechococcus_chromo_NC_010475,-,62605,63024,109,419,21.44,1,1,SYNPCC7002_A0055
SYNPCC7002_A0056,Synechococcus_chromo_NC_010475,-,63031,63270,72,239,24.82,1,1,SYNPCC7002_A0056
SYNPCC7002_A0057,Synechococcus_chromo_NC_010475,-,63367,64278,1480,911,133.86,1,1,SYNPCC7002_A0057
SYNPCC7002_A0058,Synechococcus_chromo_NC_010475,-,64484,65443,3271,959,281.05,1,1,SYNPCC7002_A0058
SYNPCC7002_A0059,Synechococcus_chromo_NC_010475,-,65470,65679,1073,209,423.03,1,1,SYNPCC7002_A0059
SYNPCC7002_A0060,Synechococcus_chromo_NC_010475,+,65831,66229,29,398,6,1,1,SYNPCC7002_A0060
SYNPCC7002_A0061,Synechococcus_chromo_NC_010475,-,66337,67056,455,719,52.14,1,1,SYNPCC7002_A0061
SYNPCC7002_A0062,Synechococcus_chromo_NC_010475,+,67095,67652,233,557,34.47,1,1,SYNPCC7002_A0062
SYNPCC7002_A0063,Synechococcus_chromo_NC_010475,+,67696,70698,881,3002,24.18,1,1,SYNPCC7002_A0063
SYNPCC7002_A0064,Synechococcus_chromo_NC_010475,+,70861,72312,1490,1451,84.61,1,1,SYNPCC7002_A0064
SYNPCC7002_A0065,Synechococcus_chromo_NC_010475,-,72394,72648,107,254,34.71,1,1,SYNPCC7002_A0065
SYNPCC7002_A0066,Synechococcus_chromo_NC_010475,+,72686,74116,746,1430,42.99,1,1,SYNPCC7002_A0066
SYNPCC7002_A0067,Synechococcus_chromo_NC_010475,+,74161,74340,126,179,58,1,1,SYNPCC7002_A0067
SYNPCC7002_A0068,Synechococcus_chromo_NC_010475,-,74343,75515,183,1172,12.87,1,1,SYNPCC7002_A0068
SYNPCC7002_A0069,Synechococcus_chromo_NC_010475,-,75522,76319,145,797,14.99,1,1,SYNPCC7002_A0069
SYNPCC7002_A0070,Synechococcus_chromo_NC_010475,-,76369,76836,43,467,7.59,1,1,SYNPCC7002_A0070
SYNPCC7002_A0071,Synechococcus_chromo_NC_010475,-,76972,77229,78,257,25.01,1,1,SYNPCC7002_A0071
SYNPCC7002_A0072,Synechococcus_chromo_NC_010475,-,77289,78125,119,836,11.73,1,1,SYNPCC7002_A0072
SYNPCC7002_A0073,Synechococcus_chromo_NC_010475,-,78306,79598,768,1292,48.98,1,1,SYNPCC7002_A0073
SYNPCC7002_A0074,Synechococcus_chromo_NC_010475,+,79979,80374,389,395,81.15,1,1,SYNPCC7002_A0074
SYNPCC7002_A0075,Synechococcus_chromo_NC_010475,+,80380,81978,1293,1598,66.67,1,1,SYNPCC7002_A0075
