#Gene-ID,Chr,Strand,Start,End,Count,Length,RPKM,#-exons,#-expr-exons(>10 reads),Transcripts
SYNPCC7002_A0001,Synechococcus_chromo_NC_010475,+,1,1350,216,1349,20.8,1,1,SYNPCC7002_A0001
EMSL_EXON,Synechococcus_chromo_NC_010475,+,1360,1420,0,35,0,2,0,emsl_splice_junction_for_LifeScope
SYNPCC7002_A0002,Synechococcus_chromo_NC_010475,+,1424,2353,173,929,24.19,1,1,SYNPCC7002_A0002
SYNPCC7002_A0003,Synechococcus_chromo_NC_010475,+,2575,2811,6028,236,3317.52,1,1,SYNPCC7002_A0003
SYNPCC7002_A0004,Synechococcus_chromo_NC_010475,-,2832,3110,30,278,14.02,1,1,SYNPCC7002_A0004
SYNPCC7002_A0005,Synechococcus_chromo_NC_010475,-,3152,3406,18,254,9.2,1,1,SYNPCC7002_A0005
SYNPCC7002_A0006,Synechococcus_chromo_NC_010475,-,3441,4133,29,692,5.44,1,1,SYNPCC7002_A0006
SYNPCC7002_A0007,Synechococcus_chromo_NC_010475,-,4152,4796,50,644,10.08,1,1,SYNPCC7002_A0007
SYNPCC7002_A0008,Synechococcus_chromo_NC_010475,-,4889,5230,56,341,21.33,1,1,SYNPCC7002_A0008
SYNPCC7002_A0009,Synechococcus_chromo_NC_010475,-,5271,5630,51,359,18.45,1,1,SYNPCC7002_A0009
SYNPCC7002_A0010,Synechococcus_chromo_NC_010475,+,5742,6824,154,1082,18.49,1,1,SYNPCC7002_A0010
SYNPCC7002_A0011,Synechococcus_chromo_NC_010475,+,7044,7613,480,569,109.57,1,1,SYNPCC7002_A0011
SYNPCC7002_A0012,Synechococcus_chromo_NC_010475,+,7763,8308,1720,545,409.91,1,1,SYNPCC7002_A0012
SYNPCC7002_A0013,Synechococcus_chromo_NC_010475,+,8305,9621,4958,1316,489.33,1,1,SYNPCC7002_A0013
SYNPCC7002_A0014,Synechococcus_chromo_NC_010475,+,9729,10484,461,755,79.31,1,1,SYNPCC7002_A0014
SYNPCC7002_A0015,Synechococcus_chromo_NC_010475,+,10609,11418,153,809,24.56,1,1,SYNPCC7002_A0015
SYNPCC7002_A0016,Synechococcus_chromo_NC_010475,-,11402,11782,589,380,201.32,1,1,SYNPCC7002_A0016
SYNPCC7002_A0017,Synechococcus_chromo_NC_010475,-,11850,12152,1070,302,460.18,1,1,SYNPCC7002_A0017
SYNPCC7002_A0018,Synechococcus_chromo_NC_010475,+,12398,12628,408,230,230.4,1,1,SYNPCC7002_A0018
SYNPCC7002_A0019,Synechococcus_chromo_NC_010475,+,12655,14193,755,1538,63.76,1,1,SYNPCC7002_A0019
SYNPCC7002_A0020,Synechococcus_chromo_NC_010475,+,14203,14742,122,539,29.4,1,1,SYNPCC7002_A0020
SYNPCC7002_A0021,Synechococcus_chromo_NC_010475,-,14914,15897,364,983,48.1,1,1,SYNPCC7002_A0021
SYNPCC7002_A0022,Synechococcus_chromo_NC_010475,-,15864,20024,182,4160,5.68,1,1,SYNPCC7002_A0022
SYNPCC7002_A0023,Synechococcus_chromo_NC_010475,+,20085,20954,133,869,19.88,1,1,SYNPCC7002_A0023
SYNPCC7002_A0024,Synechococcus_chromo_NC_010475,+,21115,22362,965,1247,100.51,1,1,SYNPCC7002_A0024
SYNPCC7002_A0025,Synechococcus_chromo_NC_010475,+,22367,23170,207,803,33.48,1,1,SYNPCC7002_A0025
SYNPCC7002_A0026,Synechococcus_chromo_NC_010475,-,23167,24519,262,1352,25.17,1,1,SYNPCC7002_A0026
SYNPCC7002_A0027,Synechococcus_chromo_NC_010475,+,24806,25246,128,440,37.78,1,1,SYNPCC7002_A0027
SYNPCC7002_A0028,Synechococcus_chromo_NC_010475,+,25340,26419,96,1079,11.56,1,1,SYNPCC7002_A0028
SYNPCC7002_A0029,Synechococcus_chromo_NC_010475,-,26445,27062,119,617,25.05,1,1,SYNPCC7002_A0029
SYNPCC7002_A0030,Synechococcus_chromo_NC_010475,+,27194,28225,67,1031,8.44,1,1,SYNPCC7002_A0030
SYNPCC7002_A0031,Synechococcus_chromo_NC_010475,+,28366,28854,286,488,76.12,1,1,SYNPCC7002_A0031
SYNPCC7002_A0032,Synechococcus_chromo_NC_010475,+,28953,29345,2142034,392,709729.27,1,1,SYNPCC7002_A0032
