#Gene-ID,Chr,Strand,Start,End,Count,Length,RPKM,#-exons,#-expr-exons(>10 reads),Transcripts
Sputw3181_0001,Shewanella_W3_18_1_NC_008750_1,+,150,1535,2487,1385,111.45,1,1,dnaA
PNNL_EXON,Shewanella_W3_18_1_NC_008750_1,+,1545,1620,176,50,218.47,2,0,pnnl_splice_junction_for_LifeScope
Sputw3181_0002,Shewanella_W3_18_1_NC_008750_1,+,1556,2656,2039,1100,115.05,1,1,Sputw3181_0002
Sputw3181_0003,Shewanella_W3_18_1_NC_008750_1,+,2853,3935,626,1082,35.91,1,1,recF
Sputw3181_0004,Shewanella_W3_18_1_NC_008750_1,+,3952,6369,4833,2417,124.11,1,1,Sputw3181_0004
Sputw3181_0005,Shewanella_W3_18_1_NC_008750_1,+,6571,7617,482,1046,28.6,1,1,Sputw3181_0005
Sputw3181_0006,Shewanella_W3_18_1_NC_008750_1,-,7705,9774,2493,2069,74.78,1,1,glyS
Sputw3181_0007,Shewanella_W3_18_1_NC_008750_1,-,9785,10690,592,905,40.6,1,1,glyQ
Sputw3181_0008,Shewanella_W3_18_1_NC_008750_1,+,10808,11410,845,602,87.12,1,1,Sputw3181_0008
Sputw3181_0009,Shewanella_W3_18_1_NC_008750_1,-,11528,14716,1166,3188,22.7,1,1,Sputw3181_0009
Sputw3181_0010,Shewanella_W3_18_1_NC_008750_1,-,14938,15390,2974,452,408.37,1,1,Sputw3181_0010
Sputw3181_0011,Shewanella_W3_18_1_NC_008750_1,-,15435,15680,66,245,16.72,1,1,Sputw3181_0011
Sputw3181_0012,Shewanella_W3_18_1_NC_008750_1,-,15911,17074,2346,1163,125.2,1,1,fadA
Sputw3181_0013,Shewanella_W3_18_1_NC_008750_1,-,17097,19247,4306,2150,124.3,1,1,fadB
Sputw3181_0014,Shewanella_W3_18_1_NC_008750_1,+,19738,21060,1794,1322,84.22,1,1,Sputw3181_0014
Sputw3181_0015,Shewanella_W3_18_1_NC_008750_1,+,21088,21702,412,614,41.65,1,1,Sputw3181_0015
Sputw3181_0016,Shewanella_W3_18_1_NC_008750_1,+,21780,23237,1075,1457,45.79,1,1,Sputw3181_0016
Sputw3181_0017,Shewanella_W3_18_1_NC_008750_1,+,23240,23764,389,524,46.08,1,1,Sputw3181_0017
Sputw3181_0018,Shewanella_W3_18_1_NC_008750_1,-,23815,24123,468,308,94.31,1,1,Sputw3181_0018
