#Gene-ID,Chr,Strand,Start,End,Count,Length,RPKM,#-exons,#-expr-exons(>10 reads),Transcripts
SYNPCC7002_A0001,Synechococcus_chromo_NC_010475,+,1,1350,317,1349,22.84,1,1,SYNPCC7002_A0001
EMSL_EXON,Synechococcus_chromo_NC_010475,+,1360,1420,0,35,0,2,0,emsl_splice_junction_for_LifeScope
SYNPCC7002_A0002,Synechococcus_chromo_NC_010475,+,1424,2353,296,929,30.97,1,1,SYNPCC7002_A0002
SYNPCC7002_A0003,Synechococcus_chromo_NC_010475,+,2575,2811,6448,236,2655.87,1,1,SYNPCC7002_A0003
SYNPCC7002_A0004,Synechococcus_chromo_NC_010475,-,2832,3110,41,278,14.34,1,1,SYNPCC7002_A0004
SYNPCC7002_A0005,Synechococcus_chromo_NC_010475,-,3152,3406,43,254,16.46,1,1,SYNPCC7002_A0005
SYNPCC7002_A0006,Synechococcus_chromo_NC_010475,-,3441,4133,45,692,6.32,1,1,SYNPCC7002_A0006
SYNPCC7002_A0007,Synechococcus_chromo_NC_010475,-,4152,4796,80,644,12.08,1,1,SYNPCC7002_A0007
SYNPCC7002_A0008,Synechococcus_chromo_NC_010475,-,4889,5230,96,341,27.37,1,1,SYNPCC7002_A0008
SYNPCC7002_A0009,Synechococcus_chromo_NC_010475,-,5271,5630,61,359,16.52,1,1,SYNPCC7002_A0009
SYNPCC7002_A0010,Synechococcus_chromo_NC_010475,+,5742,6824,219,1082,19.67,1,1,SYNPCC7002_A0010
SYNPCC7002_A0011,Synechococcus_chromo_NC_010475,+,7044,7613,1020,569,174.25,1,1,SYNPCC7002_A0011
SYNPCC7002_A0012,Synechococcus_chromo_NC_010475,+,7763,8308,2307,545,411.48,1,1,SYNPCC7002_A0012
SYNPCC7002_A0013,Synechococcus_chromo_NC_010475,+,8305,9621,8049,1316,594.54,1,1,SYNPCC7002_A0013
SYNPCC7002_A0014,Synechococcus_chromo_NC_010475,+,9729,10484,841,755,108.28,1,1,SYNPCC7002_A0014
SYNPCC7002_A0015,Synechococcus_chromo_NC_010475,+,10609,11418,345,809,41.45,1,1,SYNPCC7002_A0015
SYNPCC7002_A0016,Synechococcus_chromo_NC_010475,-,11402,11782,1029,380,263.22,1,1,SYNPCC7002_A0016
SYNPCC7002_A0017,Synechococcus_chromo_NC_010475,-,11850,12152,1758,302,565.86,1,1,SYNPCC7002_A0017
SYNPCC7002_A0018,Synechococcus_chromo_NC_010475,+,12398,12628,576,230,243.44,1,1,SYNPCC7002_A0018
SYNPCC7002_A0019,Synechococcus_chromo_NC_010475,+,12655,14193,1541,1538,97.4,1,1,SYNPCC7002_A0019
SYNPCC7002_A0020,Synechococcus_chromo_NC_010475,+,14203,14742,212,539,38.23,1,1,SYNPCC7002_A0020
SYNPCC7002_A0021,Synechococcus_chromo_NC_010475,-,14914,15897,369,983,36.49,1,1,SYNPCC7002_A0021
SYNPCC7002_A0022,Synechococcus_chromo_NC_010475,-,15864,20024,208,4160,4.86,1,1,SYNPCC7002_A0022
SYNPCC7002_A0023,Synechococcus_chromo_NC_010475,+,20085,20954,325,869,36.35,1,1,SYNPCC7002_A0023
SYNPCC7002_A0024,Synechococcus_chromo_NC_010475,+,21115,22362,1402,1247,109.29,1,1,SYNPCC7002_A0024
SYNPCC7002_A0025,Synechococcus_chromo_NC_010475,+,22367,23170,336,803,40.67,1,1,SYNPCC7002_A0025
SYNPCC7002_A0026,Synechococcus_chromo_NC_010475,-,23167,24519,317,1352,22.79,1,1,SYNPCC7002_A0026
SYNPCC7002_A0027,Synechococcus_chromo_NC_010475,+,24806,25246,146,440,32.25,1,1,SYNPCC7002_A0027
SYNPCC7002_A0028,Synechococcus_chromo_NC_010475,+,25340,26419,104,1079,9.37,1,1,SYNPCC7002_A0028
SYNPCC7002_A0029,Synechococcus_chromo_NC_010475,-,26445,27062,149,617,23.47,1,1,SYNPCC7002_A0029
SYNPCC7002_A0030,Synechococcus_chromo_NC_010475,+,27194,28225,91,1031,8.58,1,1,SYNPCC7002_A0030
SYNPCC7002_A0031,Synechococcus_chromo_NC_010475,+,28366,28854,448,488,89.24,1,1,SYNPCC7002_A0031
SYNPCC7002_A0032,Synechococcus_chromo_NC_010475,+,28953,29345,2257796,392,559876.29,1,1,SYNPCC7002_A0032
SYNPCC7002_A0033,Synechococcus_chromo_NC_010475,-,29424,30743,1063,1319,78.34,1,1,SYNPCC7002_A0033
SYNPCC7002_A0034,Synechococcus_chromo_NC_010475,-,30885,31730,693,845,79.72,1,1,SYNPCC7002_A0034
SYNPCC7002_A0035,Synechococcus_chromo_NC_010475,-,31804,33420,1665,1616,100.15,1,1,SYNPCC7002_A0035
SYNPCC7002_A0036,Synechococcus_chromo_NC_010475,-,33504,34478,133,974,13.27,1,1,SYNPCC7002_A0036
SYNPCC7002_A0037,Synechococcus_chromo_NC_010475,+,34718,35728,285,1010,27.43,1,1,SYNPCC7002_A0037
SYNPCC7002_A0038,Synechococcus_chromo_NC_010475,+,35772,36683,810,911,86.43,1,1,SYNPCC7002_A0038
SYNPCC7002_A0039,Synechococcus_chromo_NC_010475,+,36701,37603,324,902,34.92,1,1,SYNPCC7002_A0039
SYNPCC7002_A0040,Synechococcus_chromo_NC_010475,-,38116,39978,5676,1862,296.32,1,1,SYNPCC7002_A0040
SYNPCC7002_A0041,Synechococcus_chromo_NC_010475,-,40120,45915,2874,5795,48.21,1,1,SYNPCC7002_A0041
SYNPCC7002_A0042,Synechococcus_chromo_NC_010475,-,46222,46605,406,383,103.04,1,1,SYNPCC7002_A0042
SYNPCC7002_A0043,Synechococcus_chromo_NC_010475,+,46832,48373,301,1541,18.99,1,1,SYNPCC7002_A0043
SYNPCC7002_A0044,Synechococcus_chromo_NC_010475,-,48397,49074,132,677,18.95,1,1,SYNPCC7002_A0044
SYNPCC7002_A0045,Synechococcus_chromo_NC_010475,+,49554,50762,11547,1208,929.17,1,1,SYNPCC7002_A0045
SYNPCC7002_A0046,Synechococcus_chromo_NC_010475,+,50845,51207,3609,362,969.11,1,1,SYNPCC7002_A0046
SYNPCC7002_A0047,Synechococcus_chromo_NC_010475,+,51282,51773,3397,491,672.52,1,1,SYNPCC7002_A0047
SYNPCC7002_A0048,Synechococcus_chromo_NC_010475,+,51791,56263,21517,4472,467.71,1,1,SYNPCC7002_A0048
SYNPCC7002_A0049,Synechococcus_chromo_NC_010475,+,56378,59512,10029,3134,311.07,1,1,SYNPCC7002_A0049
SYNPCC7002_A0050,Synechococcus_chromo_NC_010475,-,59525,60178,1050,653,156.3,1,1,SYNPCC7002_A0050
SYNPCC7002_A0051,Synechococcus_chromo_NC_010475,-,60296,60643,2028,347,568.11,1,1,SYNPCC7002_A0051
SYNPCC7002_A0052,Synechococcus_chromo_NC_010475,-,60707,61204,908,497,177.59,1,1,SYNPCC7002_A0052
SYNPCC7002_A0053,Synechococcus_chromo_NC_010475,-,61290,61847,1895,557,330.71,1,1,SYNPCC7002_A0053
SYNPCC7002_A0054,Synechococcus_chromo_NC_010475,-,61952,62608,125,656,18.52,1,1,SYNPCC7002_A0054
SYNPCC7002_A0055,Synechococcus_chromo_NC_010475,-,62605,63024,68,419,15.78,1,1,SYNPCC7002_A0055
SYNPCC7002_A0056,Synechococcus_chromo_NC_010475,-,63031,63270,65,239,26.44,1,1,SYNPCC7002_A0056
SYNPCC7002_A0057,Synechococcus_chromo_NC_010475,-,63367,64278,937,911,99.98,1,1,SYNPCC7002_A0057
SYNPCC7002_A0058,Synechococcus_chromo_NC_010475,-,64484,65443,3633,959,368.25,1,1,SYNPCC7002_A0058
SYNPCC7002_A0059,Synechococcus_chromo_NC_010475,-,65470,65679,990,209,460.45,1,1,SYNPCC7002_A0059
SYNPCC7002_A0060,Synechococcus_chromo_NC_010475,+,65831,66229,32,398,7.82,1,1,SYNPCC7002_A0060
